Art colony's name,Art colony organisers,Contact person,Contact telephone,E-mail address,Web page,The place where the art colony is held,Time period when the art colony is held,Art field,How long does an art colony last?,"Is the art colony national, regional or international"
Slikanje u parku Zuzke Medvedjove,Udruženje petrovackih likovnih umetnika,Tatiana Milina Turanova,00381 62 58852801,tanja.turanova3@gmail.com,/,Bački Petrovac,August,Painting,1-3 days,/
Tri Morave,Narodne biblioteka Ćičevac,Marko Aleksić,00381 61 1682929,nbc.direktor@gmail.com,/,Ćičevac,July,Visual arts,4-7 days,National
"""I ia volim Novu Pazovu""",Umetničko udruženje Nova Pazova,Ljiljana Sekimić,00381 62 204560,lj.sekimic@gmail.com ,/,Nova Pazova,September,Visual arts & poetry,1-3 days,National
"""Dečija likovna kolonija""","Osnovna škola ""Kralj Aleksandar Karađorđević"" Prnjavor",Dušica Komanović,00381 69 2822184,prnjavorskola@gmail.com,/,Petkovica monastery,May,"Calligraphy, painting, sculpture",1-3 days,/
Internacionalni simpozijum skulpture u terakoti Terra,Centar za likovnu i primenjenu umetnost Terra,Aleksandar Lipovan,00381 230 426 508,aleksandar.lipovan@terra.rs,https://terra.rs/about-symposium-terra/,Kikinda,July,"Visual arts, sculpture",1 month,International
"Likovna  kolonija ""Lovćenački koloriti"" ","Crnogorsko kulturno prosvjetno društvo ""Princeza Ksenija"" ",Nenad Stevović,00381 63 504931,stenli.stevovic@gmail.com,/,Lovćenac,October,Painting ,1-3 days,International
Vajarska kolonija Jasenovo,"Ekološko društvo Karaš, Jasenovo",Jovana Vasiljević,00381 60 5558424,jolsposao@gmail.com,/,Jasenovo village,August,Sculpture,8-14 days,International
Jalovička likovna kolonija,Biblioteka Diša Atić Vladimirci,Djenadija Šujić,00381 63 7258031,sujicdjena76@gmail.com,/,"Jalovik village, municipality Vladimirci",August,Contemporary arts,8-14 days,International
Kostolac 2025.,"Udruženje likovnih stvaralaca Kostolac ,,SPEKTAR"" ",Snežana Milošević,00381 64 8533035,milosevicsnezana5@gmail.com,/,Kostolac,August,Visual arts,4-7 days,International
Umetnička kolonija Ečka,Savremena galerija Umetničke kolonije Ečka-Zrenjanin,Sunčica Lambić Fenjčev and Slavica Žarković,00381 66 8660491 & 00381 69 1756835,suncicalf@gmail.com & slavicappv@gmail.com,www.galerija.rs,Ečka,August,Visual arts,4-7 days,International
Prepoznavanje,Umetnička galerija - Narodni muzej Kruševac,Biljana Grković,00381 64 3366909,grkovicbiljana@gmail.com ,/,"Kruševac, Ribarska banja / Kraljevo, Vrnjačka banja / Niš, Sićevo / Čačak",October - November,Visual arts,4-7 days,International
